Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
015 093,armcurl,331,135,397,437,397,437,367,665,222,310,409,573,403,839,403,839,375,1143,371,1093
2 041.jpg,armcurl,153,160,281,225,288,126,361,238,207,113,323,158,439,181,443,132,530,190,530,129
012 096,armcurl,347,189,424,529,219,533,477,731,175,341,353,627,393,865,307,865,395,1127,303,1119
3 051.jpg,armcurl,96,183,251,187,233,163,340,162,303,133,275,182,380,170,377,144,479,159,466,151
2 022.jpg,armcurl,153,160,292,215,286,116,213,215,370,98,323,158,439,181,443,132,530,190,530,129
3 088.jpg,armcurl,90,154,245,175,231,141,228,112,293,115,277,185,390,168,381,149,482,160,468,149
karthik_armcurls 008,armcurl,385,265,322,479,472,475,306,608,490,599,404,577,360,717,443,711,363,869,437,872
3 024.jpg,armcurl,103,180,252,201,248,168,342,151,317,142,290,207,399,186,398,171,494,174,482,163
karthik_armcurls 009,armcurl,385,265,322,479,472,475,306,608,490,599,404,577,360,717,443,711,363,869,437,872
012 094,armcurl,349,193,425,537,211,533,471,733,145,393,357,631,399,873,307,873,395,1125,303,1123
012 032,armcurl,349,193,449,509,237,517,511,699,181,721,359,615,393,869,309,873,397,1123,305,1120
karthik_armcurls 014,armcurl,385,265,345,452,495,453,332,313,508,321,404,577,360,717,443,711,363,869,437,872
2 045.jpg,armcurl,153,160,282,224,288,131,366,240,370,111,323,158,439,181,443,132,530,190,530,129
karthik_armcurls 094,armcurl,385,265,322,479,472,475,306,608,490,599,404,577,360,717,443,711,363,869,437,872
karthik_armcurls 002,armcurl,385,265,314,480,487,465,258,397,529,367,404,577,360,717,443,711,363,869,437,872
3 094.jpg,armcurl,93,161,241,174,238,147,322,155,288,117,286,183,393,165,392,151,482,155,467,145
karthik_armcurls 062,armcurl,385,265,300,511,466,500,280,396,464,374,404,577,360,717,443,711,363,869,437,872
2 070.jpg,armcurl,151,149,269,224,277,126,353,237,354,107,330,151,433,189,429,133,521,201,518,145
015 005,armcurl,329,133,401,441,401,441,361,673,265,591,413,581,413,857,413,857,383,1149,371,1097
1 004.jpg,armcurl,128,162,280,224,288,126,366,237,205,100,335,165,412,186,415,149,529,184,524,148
3 062.jpg,armcurl,87,157,244,161,225,147,170,130,293,113,275,182,380,170,377,144,479,159,466,151
2 081.jpg,armcurl,151,149,278,223,289,130,361,238,215,114,330,151,433,189,429,133,521,201,518,145
karthik_armcurls 087,armcurl,385,265,293,532,459,512,265,642,483,633,404,577,360,717,443,711,363,869,437,872
karthik_armcurls 011,armcurl,385,265,332,462,488,448,266,493,564,489,404,577,360,717,443,711,363,869,437,872
1 042.jpg,armcurl,128,162,289,231,289,129,375,246,295,78,335,165,412,186,415,149,529,184,524,148
2 056.jpg,armcurl,151,149,283,227,281,129,365,242,333,103,330,151,433,189,429,133,521,201,518,145
2 090.jpg,armcurl,151,149,285,224,286,129,363,247,368,114,330,151,433,189,429,133,521,201,518,145
015 026,armcurl,335,123,393,429,393,429,156,333,359,673,405,577,399,851,399,851,379,1143,365,1099
012 066,armcurl,347,189,439,539,225,527,483,723,159,369,353,627,393,865,307,865,395,1127,303,1119
3 021.jpg,armcurl,97,172,256,182,242,162,172,139,310,130,283,191,385,174,382,157,490,166,476,156
karthik_armcurls 080,armcurl,385,265,303,543,450,527,285,426,452,422,404,577,360,717,443,711,363,869,437,872
1 008.jpg,armcurl,128,162,280,224,281,111,366,237,365,91,335,165,412,186,415,149,529,184,524,148
015 052,armcurl,335,123,393,429,393,429,274,182,359,673,405,577,399,851,399,851,379,1143,365,1099
015 015,armcurl,329,133,401,441,401,441,361,673,265,559,413,581,413,857,413,857,383,1149,371,1097
karthik_armcurls 057,armcurl,385,265,322,479,472,475,306,608,490,599,404,577,360,717,443,711,363,869,437,872
015 006,armcurl,331,135,397,437,397,437,365,671,225,517,409,573,403,839,403,839,375,1143,371,1093
2 042.jpg,armcurl,153,160,281,225,292,130,361,238,230,103,323,158,439,181,443,132,530,190,530,129
3 086.jpg,armcurl,90,154,238,168,238,139,319,154,297,114,277,185,390,168,381,149,482,160,468,149
012 076,armcurl,347,189,441,525,229,533,481,725,173,737,357,631,399,873,307,873,395,1125,303,1123
