Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
003 045,lunge,273,413,245,565,245,565,295,663,295,663,243,625,243,777,323,745,221,899,297,889
karthik_lunges_3 050,lunge,355,466,291,627,432,612,292,746,447,722,347,675,33,801,386,751,334,798,377,930
karthik_lunges_3 057,lunge,355,466,291,627,432,612,292,746,447,722,347,675,33,801,386,751,334,798,377,930
karthik_lunges_2 066,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
005 072,lunge,491,559,471,725,471,725,517,831,517,831,459,769,591,779,429,913,585,915,279,917
karthik_lunges 072,lunge,275,660,202,803,367,792,188,946,371,918,298,845,240,885,318,958,246,1056,314,906
4 19.jpg,lunge,70,171,225,215,212,116,307,197,308,129,266,165,353,179,353,147,491,195,415,157
karthik_lunges 076,lunge,330,410,258,586,383,579,251,687,392,683,326,643,292,755,339,755,262,878,320,875
6 011.jpg,lunge,94,259,242,270,232,256,330,249,302,229,280,279,386,260,381,232,497,259,476,255
karthik_lunges 087,lunge,330,410,258,586,383,579,251,687,392,683,326,643,292,755,339,755,262,878,320,875
5 026.jpg,lunge,154,239,296,272,272,208,362,242,343,178,335,224,426,249,384,175,503,261,488,166
karthik_lunges_3 042,lunge,350,387,295,548,428,547,293,669,442,658,345,616,330,741,393,744,333,791,382,896
5 021.jpg,lunge,162,221,295,250,277,198,361,204,347,173,331,214,408,198,407,227,515,214,479,250
4 32.jpg,lunge,203,151,346,202,337,96,430,200,403,123,363,156,473,187,448,135,430,182,523,137
003 023,lunge,469,507,429,683,429,683,463,783,463,783,443,699,383,843,561,735,253,829,553,859
karthik_lunges 085,lunge,330,410,258,586,383,579,251,687,392,683,326,643,292,755,339,755,262,878,320,875
karthik_lunges_2 038,lunge,234,482,240,661,240,661,203,783,270,764,280,727,110,704,287,834,122,851,443,854
4 18.jpg,lunge,210,188,353,238,368,132,440,202,466,144,394,182,471,195,482,152,554,188,444,162
karthik_lunges 031,lunge,312,391,234,559,373,552,233,667,372,652,299,630,259,734,325,735,255,857,297,867
005 098,lunge,377,461,347,627,341,627,387,737,387,737,379,685,475,783,359,823,557,895,291,937
003 028,lunge,267,377,229,545,229,545,267,637,267,637,217,591,235,743,205,751,229,867,195,873
6 025.jpg,lunge,168,132,313,134,274,144,393,123,330,67,324,161,443,144,352,69,471,242,449,75
005 099,lunge,441,491,417,663,417,663,463,769,463,769,419,721,551,781,421,853,585,927,293,919
karthik_lunges 008,lunge,252,573,168,763,341,735,152,877,366,841,259,791,204,842,297,919,200,1007,325,843
005 077,lunge,313,423,281,591,281,591,309,695,309,695,277,661,269,795,270,780,269,927,269,927
6 010.jpg,lunge,107,221,246,225,250,215,323,184,306,211,286,234,372,172,403,224,489,142,480,252
4 04.jpg,lunge,215,137,371,201,360,95,450,194,429,122,386,147,500,180,454,212,483,175,555,124
4 13.jpg,lunge,223,163,376,220,359,106,456,208,434,136,391,164,493,196,473,131,428,198,560,145
karthik_lunges 075,lunge,330,410,258,586,383,579,251,687,392,683,326,643,292,755,339,755,262,878,320,875
6 046.jpg,lunge,219,137,359,143,316,157,439,125,360,86,364,174,479,153,379,81,478,257,470,107
4 29.jpg,lunge,54,164,194,209,194,114,274,199,279,122,245,160,343,180,340,143,410,181,413,143
karthik_lunges_2 064,lunge,324,423,313,596,313,596,272,722,272,722,348,682,180,717,331,795,131,858,461,858
003 042,lunge,259,407,229,571,229,571,277,673,277,673,223,619,239,767,193,791,241,899,205,925
karthik_lunges 061,lunge,314,491,228,662,372,655,232,742,379,752,312,716,259,834,332,843,240,1010,319,906
6 041.jpg,lunge,207,129,340,114,323,154,379,51,392,130,354,164,393,59,457,152,485,94,450,250
4 25.jpg,lunge,59,163,196,209,197,117,277,199,275,129,244,162,338,184,336,145,421,182,419,143
karthik_lunges 024,lunge,243,519,161,694,318,690,139,815,326,789,251,755,210,857,277,874,195,1048,293,893
6 031.jpg,lunge,98,205,237,203,240,199,309,150,311,202,268,214,364,123,379,198,456,79,451,261
005 090,lunge,353,451,325,611,325,611,379,727,379,727,259,669,443,783,337,821,473,913,285,947
6 029.jpg,lunge,187,99,327,86,330,132,366,25,407,127,344,129,391,33,450,132,473,66,440,234
5 040.jpg,lunge,199,130,335,141,314,120,390,78,411,112,360,131,425,56,438,151,535,55,480,239
karthik_lunges 064,lunge,308,590,203,772,362,762,191,885,372,877,297,829,256,876,314,949,240,1064,308,902
4 24.jpg,lunge,64,180,206,225,216,129,276,212,282,142,245,177,347,191,332,154,421,185,421,143
karthik_lunges_2 025,lunge,447,349,471,525,471,525,423,664,465,639,476,644,362,712,495,745,297,839,546,864
5 029.jpg,lunge,215,152,349,177,353,135,395,105,407,130,375,157,429,87,457,171,538,74,474,262
005 082,lunge,387,453,345,617,345,617,393,725,393,725,369,683,461,769,347,819,563,879,293,931
karthik_lunges 056,lunge,313,447,235,619,371,616,223,727,376,720,312,687,265,805,321,806,233,962,308,894
karthik_lunges 096,lunge,329,406,261,574,381,574,248,695,384,687,334,647,276,761,332,765,259,885,320,880
