Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
4 43.jpg,lunge,46,172,193,217,196,122,267,206,266,128,237,167,338,185,332,142,407,180,403,141
003 021,lunge,483,505,451,681,451,681,501,771,501,771,441,693,399,841,575,739,255,837,571,869
4 36.jpg,lunge,208,177,350,225,356,119,426,191,451,130,373,174,469,174,466,138,547,182,449,146
karthik_lunges_3 026,lunge,369,356,316,537,452,514,325,640,458,636,372,584,355,715,415,706,366,796,423,863
4 38.jpg,lunge,46,152,186,202,191,105,269,197,277,113,254,152,329,180,329,138,406,183,401,144
005 092,lunge,299,437,268,601,269,601,319,707,319,707,279,669,319,793,289,809,287,939,287,939
karthik_lunges_2 022,lunge,345,430,366,616,366,616,383,756,383,756,352,703,226,705,364,795,162,856,500,853
karthik_lunges_3 048,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges_3 067,lunge,345,359,386,522,410,519,26,643,425,629,350,593,329,708,378,707,331,799,374,863
4 09.jpg,lunge,201,164,344,209,356,111,436,186,457,122,383,159,466,186,485,131,573,174,434,132
karthik_lunges 042,lunge,290,484,206,650,352,639,208,739,357,743,286,723,244,836,310,830,207,1024,299,881
003 005,lunge,369,425,341,583,341,583,365,701,365,701,347,639,351,757,449,725,255,855,539,855
karthik_lunges_2 067,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
karthik_lunges_3 046,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
5 038.jpg,lunge,143,249,273,272,277,273,269,216,345,243,337,208,403,244,391,229,253,500,480,239
karthik_lunges 029,lunge,312,391,234,559,373,552,233,667,372,652,299,630,259,734,325,735,255,857,297,867
003 012,lunge,291,369,273,533,273,533,315,639,315,639,257,581,279,713,349,705,227,845,327,845
karthik_lunges_2 013,lunge,460,361,451,564,514,558,431,684,500,663,473,642,369,749,456,760,389,894,483,903
karthik_lunges 077,lunge,330,410,258,586,383,579,251,687,392,683,326,643,292,755,339,755,262,878,320,875
karthik_lunges_3 035,lunge,389,433,307,604,444,593,301,716,456,705,367,649,349,786,398,743,342,802,403,921
karthik_lunges_2 071,lunge,253,479,288,648,288,648,297,776,297,776,327,710,147,721,320,827,126,858,467,853
6 050.jpg,lunge,94,259,235,258,213,251,232,261,296,228,276,268,360,199,394,253,478,187,466,269
karthik_lunges 019,lunge,349,384,265,560,402,559,239,662,402,656,329,618,290,751,349,752,268,868,341,866
4 50.jpg,lunge,190,159,366,206,336,96,435,198,418,124,376,151,474,186,444,131,444,188,541,137
karthik_lunges_2 016,lunge,232,462,193,635,251,636,169,749,228,745,247,711,107,680,265,812,106,826,412,832
005 057,lunge,447,579,413,737,413,737,451,843,451,843,425,773,547,807,397,933,539,949,247,949
karthik_lunges_3 070,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges 045,lunge,253,614,178,803,333,778,172,927,357,899,264,840,205,887,287,959,206,1069,289,897
5 041.jpg,lunge,263,92,397,107,370,84,431,28,453,81,397,120,445,28,493,136,529,60,480,239
karthik_lunges_2 065,lunge,433,357,451,532,461,532,431,674,463,650,470,614,370,733,457,742,376,886,476,871
5 046.jpg,lunge,221,138,361,174,333,121,430,147,381,63,364,148,485,170,408,51,489,269,503,76
karthik_lunges 037,lunge,347,411,223,569,376,585,220,670,374,694,309,648,259,778,342,777,253,934,316,858
4 02.jpg,lunge,70,172,209,218,222,119,293,212,297,123,254,167,353,184,352,145,442,178,437,144
003 007,lunge,461,501,433,671,433,671,483,767,483,767,427,701,407,837,565,723,267,833,561,865
karthik_lunges 050,lunge,312,391,234,559,373,552,233,667,372,652,299,630,259,734,325,735,255,857,297,867
karthik_lunges_2 062,lunge,234,493,272,655,272,655,284,783,311,781,309,711,148,717,308,828,103,869,448,857
005 073,lunge,455,535,431,691,431,691,477,787,477,787,433,749,569,767,411,897,583,909,273,919
005 078,lunge,299,421,273,589,273,589,323,689,323,689,269,647,277,793,280,795,265,919,260,923
karthik_lunges_2 045,lunge,355,392,378,584,378,584,379,716,379,718,385,668,232,736,371,762,140,845,468,877
karthik_lunges_3 017,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
karthik_lunges 023,lunge,276,430,209,606,339,604,197,714,345,701,282,664,231,791,295,790,205,950,280,893
karthik_lunges_3 053,lunge,345,359,386,522,410,519,26,643,425,629,350,593,329,708,378,707,331,799,374,863
karthik_lunges 069,lunge,310,437,246,598,373,586,232,693,373,692,308,654,280,773,325,775,261,873,311,887
003 047,lunge,343,439,313,601,313,601,341,705,341,705,333,645,305,777,433,753,241,883,525,861
karthik_lunges_2 051,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
6 002.jpg,lunge,138,170,277,204,261,148,369,179,325,106,310,178,417,170,371,105,498,226,475,64
5 039.jpg,lunge,147,227,275,251,267,202,345,213,337,192,309,212,402,209,391,224,498,208,480,239
4 01.jpg,lunge,69,171,209,217,215,120,294,213,298,125,255,168,356,181,351,145,441,178,437,146
karthik_lunges_2 074,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
005 051,lunge,323,507,273,675,273,675,319,777,319,777,303,733,387,821,291,867,467,939,231,991
005 071,lunge,503,579,477,739,477,739,525,839,525,839,465,775,593,779,433,923,575,915,277,925
karthik_lunges 081,lunge,296,616,196,786,354,773,193,920,371,888,294,840,235,888,313,950,246,1061,313,897
003 043,lunge,255,407,221,571,221,571,267,673,267,673,207,619,245,773,207,771,247,901,201,927
005 088,lunge,489,521,467,681,467,681,507,787,507,787,477,731,603,777,445,883,603,913,307,921
karthik_lunges_2 012,lunge,473,336,499,532,499,532,417,647,417,647,497,627,465,751,475,762,481,922,487,881
karthik_lunges_3 016,lunge,396,330,3188,487,454,494,318,596,448,608,386,567,355,675,410,679,359,800,421,797
005 068,lunge,429,503,409,663,409,663,445,779,445,779,415,725,523,773,393,867,559,921,251,929
karthik_lunges_3 063,lunge,345,359,386,522,410,519,26,643,425,629,350,593,329,708,378,707,331,799,374,863
6 048.jpg,lunge,98,238,249,247,241,235,238,214,305,189,285,257,400,236,362,177,495,274,457,133
003 002,lunge,311,355,269,441,269,441,301,629,301,629,263,589,251,725,313,717,243,861,297,871
karthik_lunges 094,lunge,329,406,261,574,381,574,248,695,384,687,334,647,276,761,332,765,259,885,320,880
karthik_lunges_2 015,lunge,221,491,210,664,309,663,177,794,278,761,246,725,113,708,274,851,122,848,419,868
