Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
7 020.jpg,pushup,84,269,202,336,185,282,283,308,261,248,155,403,200,473,200,464,210,524,214,505
9 44.jpg,pushup,232,122,230,214,220,176,273,192,237,198,230,284,233,406,232,380,244,517,237,506
7 028.jpg,pushup,103,255,210,342,188,268,264,305,235,250,166,373,208,462,208,464,208,526,208,510
013 080,pushup,225,281,391,407,413,355,307,585,345,465,627,363,881,405,883,377,1107,457,1081,447
8 032.jpg,pushup,52,446,161,406,172,392,216,421,249,413,128,298,181,176,185,177,196,119,208,97
8 043.jpg,pushup,60,437,172,397,181,382,221,401,256,400,141,280,181,177,186,175,195,102,206,82
9 02.jpg,pushup,227,150,256,241,191,221,289,204,255,211,233,307,249,436,248,404,251,535,241,528
013 035,pushup,231,179,389,381,415,325,275,569,329,449,635,285,885,369,885,351,1091,447,1079,443
9 17.jpg,pushup,155,145,239,223,209,228,286,202,256,208,202,298,233,416,227,411,258,531,251,519
9 26.jpg,pushup,221,126,245,211,186,230,284,199,249,205,237,286,250,402,243,383,258,523,242,515
013 069,pushup,229,277,381,405,413,317,293,561,337,449,637,365,873,401,871,381,1093,439,1085,437
8 022.jpg,pushup,50,439,168,398,176,384,224,404,257,398,138,281,182,181,182,196,206,107,207,82
8 026.jpg,pushup,193,480,167,423,200,371,224,404,257,398,194,310,198,213,212,201,206,107,207,82
9 27.jpg,pushup,156,133,241,212,188,221,284,199,249,205,206,286,234,394,234,394,258,523,242,515
8 002.jpg,pushup,102,449,173,391,189,365,234,401,262,397,135,287,167,207,181,202,202,108,205,81
013 007,pushup,223,285,401,419,407,375,279,565,329,449,621,349,885,413,875,391,1091,453,1077,453
013 040,pushup,201,417,333,409,351,333,277,567,317,445,587,431,853,437,837,413,1091,441,1069,441
013 048,pushup,221,289,375,415,409,341,285,571,329,455,613,347,869,401,865,381,1091,441,1071,447
7 035.jpg,pushup,246,212,232,344,179,254,264,305,235,250,226,353,229,451,229,451,208,526,208,510
013 032,pushup,217,297,339,405,395,351,283,569,333,449,625,365,867,403,853,381,1089,449,1071,441
8 001.jpg,pushup,101,443,173,392,191,368,231,404,261,392,131,287,178,187,191,187,204,109,202,83
8 004.jpg,pushup,141,446,189,381,203,351,264,391,261,395,155,285,174,189,193,190,202,108,205,81
8 042.jpg,pushup,57,438,170,398,179,385,221,401,256,400,140,279,176,205,185,191,195,102,206,82
7 039.jpg,pushup,77,254,198,318,174,264,264,305,235,250,145,362,200,451,190,455,208,526,208,510
7 041.jpg,pushup,73,256,196,315,173,265,264,305,235,250,146,387,195,453,193,438,208,526,208,510
7 012.jpg,pushup,204,234,236,365,190,258,283,308,261,248,199,372,220,463,223,456,210,524,214,505
8 049.jpg,pushup,191,461,177,397,214,361,221,401,256,400,200,290,194,182,219,183,195,102,206,82
7 033.jpg,pushup,164,231,230,350,176,251,264,305,235,250,188,379,217,453,217,444,208,526,208,510
8 025.jpg,pushup,138,468,178,397,199,368,224,404,257,398,163,301,184,210,198,201,206,107,207,82
9 48.jpg,pushup,84,150,206,207,145,214,273,192,237,198,169,300,210,420,210,420,244,517,237,506
