Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
karthik_squats_2 027,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
11 001.jpg,squat,138,186,209,237,224,164,240,295,242,213,298,181,398,195,401,154,473,197,479,146
karthik_squats_3 028,squat,368,619,281,684,287,659,145,697,165,673,484,831,324,802,340,766,403,932,401,907
karthik_squats_2 020,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
11 027.jpg,squat,136,171,210,230,219,153,235,295,229,206,293,170,392,183,391,147,481,196,491,150
karthik_squats_2 043,squat,358,426,292,486,414,467,276,508,431,494,356,680,305,807,417,802,332,901,434,910
karthik_squats_1 020,squat,353,35,268,461,410,442,252,485,418,472,366,643,291,820,404,822,267,918,369,913
001 052,squat,325,325,351,395,221,369,275,361,127,339,313,557,351,719,281,733,349,901,279,889
001 051,squat,323,323,361,397,219,375,277,369,127,345,313,547,351,745,291,737,351,905,281,879
001 040,squat,319,303,365,381,219,367,297,365,111,335,317,567,345,711,283,731,347,891,277,879
karthik_squats_2 001,squat,386,327,318,510,452,502,295,628,455,615,385,622,343,746,425,743,332,901,434,910
001 045,squat,293,571,331,639,205,625,249,669,97,641,361,717,317,773,251,775,351,895,277,877
001 069,squat,311,449,351,517,221,499,277,519,131,491,347,641,329,759,275,751,361,889,289,879
karthik_squats_3 001,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
karthik_squats_3 027,squat,440,377,323,432,323,432,186,428,186,428,511,639,391,764,391,764,403,932,401,907
11 050.jpg,squat,133,174,201,227,208,153,224,295,222,206,296,169,400,183,400,143,474,185,483,138
001 020,squat,329,303,359,387,231,367,287,373,129,353,323,535,361,725,299,713,367,887,293,873
karthik_squats_2 056,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
10 018.jpg,squat,328,190,403,147,374,146,430,74,389,82,423,278,415,186,401,190,505,207,483,193
10 031.jpg,squat,121,221,203,158,187,162,219,80,194,90,285,247,384,211,384,211,489,212,465,205
001 062,squat,315,303,347,373,215,359,271,343,117,333,319,545,353,725,293,721,343,887,283,873
10 045.jpg,squat,114,227,177,153,177,153,170,83,182,68,288,233,388,208,388,208,483,208,459,201
001 003,squat,307,403,348,511,216,491,260,510,125,485,347,624,330,760,262,756,363,897,296,879
11 042.jpg,squat,268,181,324,249,36,166,339,297,352,213,374,158,410,207,416,163,476,191,488,145
karthik_squats_2 055,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_3 013,squat,393,478,296,549,296,549,156,546,156,546,487,733,344,780,357,750,403,932,401,907
karthik_squats_2 014,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
001 013,squat,309,435,335,501,211,483,257,487,117,469,343,637,339,759,261,751,369,891,299,877
