Image,Exercise,rhead,chead,rlelbow,clelbow,rrelbow,crelbow,rlhand,clhand,rrhand,crhand,rhip,chip,rlknee,clknee,rrknee,crknee,rlfoot,clfoot,rrfoot,crfoot
karthik_squats_1 012,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
11 048.jpg,squat,136,175,211,234,211,157,233,300,229,217,308,172,397,182,399,148,476,191,488,145
10 017.jpg,squat,329,197,399,144,368,149,417,68,378,81,434,283,409,184,394,184,505,207,483,193
11 004.jpg,squat,137,188,212,238,221,165,243,297,240,212,309,177,403,193,407,152,470,194,481,146
001 096,squat,295,515,329,591,207,569,265,601,109,569,339,683,329,781,259,779,367,895,293,879
karthik_squats_2 051,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
11 033.jpg,squat,344,178,396,231,407,161,437,294,452,216,413,155,403,212,423,149,476,192,489,144
karthik_squats_2 041,squat,347,596,277,671,405,656,250,722,428,692,361,761,299,855,415,862,332,901,434,910
10 033.jpg,squat,116,231,193,161,181,163,203,82,185,87,302,241,398,210,398,210,489,212,465,205
karthik_squats_1 032,squat,344,494,273,576,417,564,241,634,423,619,344,709,281,830,397,835,267,918,369,913
karthik_squats_3 017,squat,420,340,319,399,319,399,189,389,189,389,461,626,432,793,432,793,403,932,401,907
karthik_squats_3 037,squat,451,381,336,433,340,452,205,435,228,456,517,648,431,780,451,780,403,932,401,907
001 038,squat,315,393,347,475,217,451,283,473,109,437,335,611,331,741,271,747,351,895,291,883
11 029.jpg,squat,138,171,209,232,214,149,232,294,230,204,297,164,397,186,403,143,481,196,491,150
karthik_squats_2 060,squat,324,548,273,630,381,633,261,682,383,675,333,738,277,848,378,846,332,901,434,910
10 026.jpg,squat,217,206,281,162,265,158,295,68,271,90,343,265,405,175,383,177,505,207,483,193
karthik_squats_2 021,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
karthik_squats_2 045,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
11 020.jpg,squat,145,166,214,226,224,143,238,282,238,206,311,170,400,194,412,147,481,196,491,150
10 030.jpg,squat,157,205,240,155,218,151,260,77,238,83,294,267,385,201,372,189,489,212,465,205
karthik_squats_2 054,squat,331,584,269,644,386,636,244,664,412,674,333,763,279,860,390,841,332,901,434,910
karthik_squats_3 039,squat,414,562,298,624,307,602,175,612,175,612,513,792,379,819,377,778,403,932,401,907
001 091,squat,319,313,365,391,227,377,285,375,129,353,343,543,361,733,317,733,365,895,295,877
001 054,squat,299,439,329,501,189,491,253,495,101,475,335,641,321,773,259,771,353,905,275,889
11 003.jpg,squat,137,188,212,238,221,165,243,297,240,212,309,177,403,193,407,152,470,194,481,146
karthik_squats_1 007,squat,317,263,250,333,394,334,226,347,387,364,326,572,289,736,360,746,267,918,369,913
10 007.jpg,squat,326,204,388,147,363,150,409,73,379,86,433,286,426,187,404,187,521,211,492,208
karthik_squats_3 014,squat,376,634,265,697,282,670,132,693,163,674,434,861,304,808,330,773,403,932,401,907
karthik_squats_3 009,squat,362,627,257,682,278,655,121,665,157,651,426,856,295,803,320,769,403,932,401,907
karthik_squats_1 055,squat,315,542,234,657,396,632,197,742,407,721,324,739,249,838,387,850,267,918,369,913
karthik_squats_3 048,squat,376,660,274,729,292,698,148,753,177,716,484,880,333,847,358,810,403,932,401,907
10 011.jpg,squat,146,228,222,162,222,162,234,75,223,88,310,245,414,217,401,210,521,211,492,208
karthik_squats_1 039,squat,342,550,277,655,422,645,246,713,426,727,339,766,259,859,411,868,267,918,369,913
karthik_squats_2 007,squat,386,333,318,495,444,487,327,597,453,603,387,614,351,748,427,750,332,901,434,910
